steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
37147	419	47.12744450569153	195.3	200.0	14.862705002791381	200.0	153.0	9.555366	0.59165794	0.9145761980116367	0.0033596169482916593	5760	0.3115558650603657
38130	424	48.42532825469971	197.5	200.0	7.230337321161287	200.0	177.0	9.406883	0.57772964	0.5272270464524627	-0.007439426528289914	5920	0.6102170709400543
39130	429	49.96466422080994	191.2	200.0	16.260381299342278	200.0	148.0	9.722013	0.59109133	0.7366348014771938	-0.005576417092233896	6080	0.3254396708725129
40130	434	51.28688859939575	200.0	200.0	0.0	200.0	200.0	9.742463	0.5874639	0.9781134076416492	-0.004776701200753451	6240	0.30157814341190814
41129	439	52.59733724594116	200.0	200.0	0.0	200.0	200.0	9.411077	0.57195914	0.7382163600623608	-0.0023990857740864156	6400	0.31485119675134843
42129	444	54.1639347076416	197.9	200.0	6.640783086353597	200.0	179.0	9.577879	0.58977234	1.07336945772171	-0.0030060177482664585	6560	0.06194324701164666
43095	449	56.10890460014343	180.8	200.0	52.522587733490646	200.0	33.0	8.801942	0.5793268	0.6560353010892868	-0.00111658307723701	6720	0.12870970015509153
44085	454	57.569844484329224	169.9	192.0	50.10311589334761	200.0	45.0	9.179087	0.58338493	0.960163043141365	-0.00566438814625144	6880	0.15652866889966177
45186	460	59.18399930000305	198.3	200.0	3.591656999213594	200.0	191.0	9.232471	0.56952184	0.9540088768303394	0.0009579305630177259	7040	0.4629323136091291
46186	465	61.122262954711914	187.8	200.0	38.57978745405423	200.0	78.0	9.812216	0.56054294	0.9943976339697838	-0.00380320624448359	7200	0.2732965066046953
47144	470	62.59863352775574	198.9	200.0	3.4785054261852175	200.0	189.0	9.263223	0.566135	0.6653389604389668	-0.002955188751220703	7360	0.5003938185048975
48144	475	64.48089694976807	197.3	200.0	6.864562784491247	200.0	178.0	9.434211	0.5822664	0.6672247054427862	-0.0041214130306616425	7520	0.41692731152014506
